City (User location),Leads,Purhchases,Qualified Lead_All conv.,Unqualified Lead_All conv.,Cost,Purchase Value,CPL,CPA,leads 2 purchase,
Gandhidham,1,0,0,0,330.06,0,330.06,,0.00%,
Gandhinagar,2,0,0,1,2722.24,0,1361.12,,0.00%,
Gangpur,1,0,0,0,19.9,0,19.9,,0.00%,
Gaya,2,0,0,0,1792.25,0,896.125,,0.00%,
Ghatkesar,3,0,0,2,386.14,0,128.713333333333,,0.00%,
Ghazipur,1,0,0,1,484.06,0,484.06,,0.00%,
Giridih,1,0,1,0,382.87,0,382.87,,0.00%,
Gorakhpur,9,0,1,0,2633.86,0,292.651111111111,,0.00%,
Greater Noida,6,0,2,1,4184.42,0,697.403333333333,,0.00%,
Gudivada,1,0,0,0,151.95,0,151.95,,0.00%,
Guna,1,0,0,1,397.41,0,397.41,,0.00%,
Guntur,4,0,0,2,2967.45,0,741.8625,,0.00%,
Gurdaspur,1,0,1,0,182.19,0,182.19,,0.00%,
Guwahati,23,0,4,3,13308.22,0,578.618260869565,,0.00%,
Gwalior,12,0,2,2,3021.63,0,251.8025,,0.00%,
Habra,1,0,0,0,74.09,0,74.09,,0.00%,
Haldwani,1,0,0,1,656.97,0,656.97,,0.00%,
Halol,2,0,0,0,85.12,0,42.56,,0.00%,
Hanamkonda,2,0,0,0,289.76,0,144.88,,0.00%,
Hapur,4,0,0,0,1197.56,0,299.39,,0.00%,
Hardoi,3,0,2,1,742.42,0,247.473333333333,,0.00%,
Hassan,1,0,0,0,227.47,0,227.47,,0.00%,
Hathras,1,0,0,0,436.47,0,436.47,,0.00%,
Haveri,1,0,0,0,188.69,0,188.69,,0.00%,
Himatnagar,1,0,0,0,107.24,0,107.24,,0.00%,
Hollywood,1,0,0,0,796.53,0,796.53,,0.00%,
Hoshiarpur,3,0,0,1,851.38,0,283.793333333333,,0.00%,
Hoskote,1,0,1,0,614.09,0,614.09,,0.00%,
Hosur,1,0,0,0,1463.02,0,1463.02,,0.00%,
Howrah,7,0,1,2,3403.87,0,486.267142857143,,0.00%,
Hubli,4,0,2,1,1511.36,0,377.84,,0.00%,
Imphal,3,0,1,1,2968.1,0,989.366666666667,,0.00%,
Jabalpur,10,0,1,2,4010.02,0,401.002,,0.00%,
Jagatpura,1,0,0,0,85.49,0,85.49,,0.00%,
Jalandhar,8,0,1,1,2995.36,0,374.42,,0.00%,
Jammu,12,0,1,3,3200.32,0,266.693333333333,,0.00%,
Jamnagar,3,0,0,0,1207.18,0,402.393333333333,,0.00%,
Jamshedpur,9,0,3,1,3157.57,0,350.841111111111,,0.00%,
Jaunpur,2,0,0,1,737.52,0,368.76,,0.00%,
Jehanabad,1,0,0,1,26.18,0,26.18,,0.00%,
Jhajjar,2,0,0,1,321.92,0,160.96,,0.00%,
Jhansi,4,0,2,0,740.99,0,185.2475,,0.00%,
Jhunjhunu,5,0,2,0,707.39,0,141.478,,0.00%,
Jigani,1,0,0,0,320.71,0,320.71,,0.00%,
Jind,1,0,0,0,858.06,0,858.06,,0.00%,
Jodhpur,13,0,1,2,4380.2,0,336.938461538462,,0.00%,
Kadapa,2,0,0,1,728.9,0,364.45,,0.00%,
Kakinada,2,0,0,0,229.92,0,114.96,,0.00%,
Kalaburagi,2,0,0,0,936.38,0,468.19,,0.00%,
Kalna,1,0,1,0,191.27,0,191.27,,0.00%,
Kalol,1,0,0,0,73.6,0,73.6,,0.00%,
Kalpetta,1,0,0,0,84.26,0,84.26,,0.00%,
Kalyan,6,0,2,0,4141.94,0,690.323333333333,,0.00%,
Kangra,3,0,0,0,806.1,0,268.7,,0.00%,
Kannur,1,0,0,0,2255.36,0,2255.36,,0.00%,
Kanyakumari,2,0,0,0,702.41,0,351.205,,0.00%,
Karimnagar,2,0,0,1,922.31,0,461.155,,0.00%,
Karur,2,0,0,1,647.27,0,323.635,,0.00%,
Kasaragod,4,0,2,0,878.13,0,219.5325,,0.00%,
Kashipur,1,0,0,0,223.45,0,223.45,,0.00%,
Katihar,1,0,0,0,266.87,0,266.87,,0.00%,
Khammam,4,0,1,0,1790.45,0,447.6125,,0.00%,
Khandwa,1,0,0,0,342.44,0,342.44,,0.00%,
Khanna,1,0,0,0,219.18,0,219.18,,0.00%,
Kharagpur,2,0,0,0,1793.58,0,896.79,,0.00%,
Khatauli,2,0,0,0,234.82,0,117.41,,0.00%,
Kishanganj,1,0,1,0,163.68,0,163.68,,0.00%,
Kochi,24,0,1,5,17205.11,0,716.879583333333,,0.00%,
Kohima,1,0,1,0,118.62,0,118.62,,0.00%,
Kolaghat,1,0,0,0,202.62,0,202.62,,0.00%,
Kolar,1,0,0,0,839.55,0,839.55,,0.00%,
Kolhapur,1,0,0,0,2250.75,0,2250.75,,0.00%,
Kollam,3,0,1,1,2533.46,0,844.486666666667,,0.00%,
Kookas,2,0,0,0,228.68,0,114.34,,0.00%,
Korba,1,0,1,0,417.93,0,417.93,,0.00%,
Kosi Kalan,1,0,0,1,144.72,0,144.72,,0.00%,
Kota,6,0,2,0,3769.2,0,628.2,,0.00%,
Kozhikode,11,0,1,0,5312.26,0,482.932727272727,,0.00%,
Kurukshetra,3,0,2,0,1120.37,0,373.456666666667,,0.00%,
Latur,1,0,0,0,844.62,0,844.62,,0.00%,
Loni Kalbhor,1,0,0,0,429.1,0,429.1,,0.00%,
Madhubani,1,0,0,0,519.62,0,519.62,,0.00%,
Mahape,1,0,0,0,746.97,0,746.97,,0.00%,
Mainpuri,1,0,1,0,130.58,0,130.58,,0.00%,
Majorda,1,0,0,0,127.69,0,127.69,,0.00%,
Malappuram,6,0,0,1,3433.52,0,572.253333333333,,0.00%,
Malerkotla,1,0,0,0,126.1,0,126.1,,0.00%,
Malumichampatti,1,0,0,0,20.48,0,20.48,,0.00%,
Mancherial,2,0,0,0,156.57,0,78.285,,0.00%,
